modality,group,p_value_mistake_score,Acceptation(alpha=0.05),p_value_rt_ms,Acceptation(alpha=0.05)
device,headphones,0.8627370913822245,No,0.297271082828043,No
device,speaker,0.010211232600310295,Yes,0.005195534253323661,Yes
french_level,g1,0.22152813808450356,No,0.38739648161030754,No
french_level,g2,0.4518925323111461,No,0.013349156369297725,Yes
french_listening_rate,g1,0.4366666380644574,No,0.3822248901294414,No
french_listening_rate,g2,0.17964055015107683,No,0.03178997531510098,Yes
french_years,g1,0.2662547800195546,No,0.17518603571390462,No
french_years,g2,0.3448188520401091,No,0.0879406075917393,No
gender,fem,0.9310046646229863,No,0.07028818071185755,No
gender,male,0.07311172256623273,No,0.3783879736681446,No
reaction_time,g1,0.29118881033677424,No,0.9050985300346917,No
reaction_time,g2,0.2156378372408374,No,0.001126135496844879,Yes
speaker_sex,women,0.0640186882497571,No,0.0271343001392123,Yes
speaker_sex,men,0.985911429624776,No,0.194296311613893,No
nasality,nasal vowel ,0.0995818941568958,No,0.0270940557402764,Yes
nasality,not nasal vowel,0.943039602505781,No,0.216632220060232,No
global,,0.1509316314311325,No,0.05251534164566762,No
